datum,zemepisna_sirka,kod_lokality,nazev_lokality,sirka_krunyre_mm
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,12.43
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,14.18
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,14.52
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,12.94
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,12.45
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,12.99
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,10.32
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,11.19
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,12.68
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,14.55
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,14.92
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,13.48
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,13.76
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,13.1
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,13.56
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,13.51
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,12.12
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,14.33
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,12.52
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,12.03
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,11.84
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,7.55
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,12.59
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,10.05
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,13
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,11.29
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,11.58
2016-07-24,30,GTM,Guana Tolomoto Matanzas NERR,7.81
2016-07-26,31.4,SI,Sapelo Island NERR,9.26
2016-07-26,31.4,SI,Sapelo Island NERR,12.58
2016-07-26,31.4,SI,Sapelo Island NERR,10.51
2016-07-26,31.4,SI,Sapelo Island NERR,8.09
2016-07-26,31.4,SI,Sapelo Island NERR,10.96
2016-07-26,31.4,SI,Sapelo Island NERR,9.55
2016-07-26,31.4,SI,Sapelo Island NERR,7.28
2016-07-26,31.4,SI,Sapelo Island NERR,12.66
2016-07-26,31.4,SI,Sapelo Island NERR,6.64
2016-07-26,31.4,SI,Sapelo Island NERR,10.56
2016-07-26,31.4,SI,Sapelo Island NERR,10.62
2016-07-26,31.4,SI,Sapelo Island NERR,11.11
2016-07-26,31.4,SI,Sapelo Island NERR,13.39
2016-07-26,31.4,SI,Sapelo Island NERR,7.65
2016-07-26,31.4,SI,Sapelo Island NERR,10.33
2016-07-26,31.4,SI,Sapelo Island NERR,6.91
2016-07-26,31.4,SI,Sapelo Island NERR,9.45
2016-07-26,31.4,SI,Sapelo Island NERR,7.96
2016-07-26,31.4,SI,Sapelo Island NERR,8.86
2016-07-26,31.4,SI,Sapelo Island NERR,13.63
2016-07-26,31.4,SI,Sapelo Island NERR,9.55
2016-07-26,31.4,SI,Sapelo Island NERR,10.75
2016-07-26,31.4,SI,Sapelo Island NERR,9.09
2016-07-26,31.4,SI,Sapelo Island NERR,9.09
2016-07-26,31.4,SI,Sapelo Island NERR,9.08
2016-07-26,31.4,SI,Sapelo Island NERR,9.73
2016-07-26,31.4,SI,Sapelo Island NERR,8.88
2016-07-26,31.4,SI,Sapelo Island NERR,11.42
2016-07-26,31.4,SI,Sapelo Island NERR,10.86
2016-07-26,31.4,SI,Sapelo Island NERR,9.18
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,14.53
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,17.29
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,14.69
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,12.57
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,12.89
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,15.14
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,16.99
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,14.01
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,15.32
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,8.52
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,11.98
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,13.71
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,8.84
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,10.77
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,12.71
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,15.31
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,10.55
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,12.87
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,17.04
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,14.47
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,13.63
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,10.34
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,15.82
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,11.45
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,15.88
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,12.7
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,11.95
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,15.67
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,11.4
2016-07-28,33.3,NIB,North Inlet Winyah Bay NERR,9.72
2016-07-29,34,ZI,Zeke's Island NERR,14.71
2016-07-29,34,ZI,Zeke's Island NERR,12.5
2016-07-29,34,ZI,Zeke's Island NERR,14.73
2016-07-29,34,ZI,Zeke's Island NERR,13.05
2016-07-29,34,ZI,Zeke's Island NERR,12.74
2016-07-29,34,ZI,Zeke's Island NERR,12.18
2016-07-29,34,ZI,Zeke's Island NERR,13.64
2016-07-29,34,ZI,Zeke's Island NERR,13.96
2016-07-29,34,ZI,Zeke's Island NERR,15.74
2016-07-29,34,ZI,Zeke's Island NERR,13.73
2016-07-29,34,ZI,Zeke's Island NERR,14.31
2016-07-29,34,ZI,Zeke's Island NERR,13.39
2016-07-29,34,ZI,Zeke's Island NERR,11.91
2016-07-29,34,ZI,Zeke's Island NERR,9.81
2016-07-29,34,ZI,Zeke's Island NERR,10.38
2016-07-29,34,ZI,Zeke's Island NERR,11.27
2016-07-29,34,ZI,Zeke's Island NERR,11.62
2016-07-29,34,ZI,Zeke's Island NERR,12.8
2016-07-29,34,ZI,Zeke's Island NERR,11.41
2016-07-29,34,ZI,Zeke's Island NERR,13.88
2016-07-29,34,ZI,Zeke's Island NERR,11.1
2016-07-29,34,ZI,Zeke's Island NERR,11.65
2016-07-29,34,ZI,Zeke's Island NERR,9.95
2016-07-29,34,ZI,Zeke's Island NERR,9.87
2016-07-29,34,ZI,Zeke's Island NERR,8.29
2016-07-29,34,ZI,Zeke's Island NERR,8.45
2016-07-29,34,ZI,Zeke's Island NERR,15.1
2016-07-29,34,ZI,Zeke's Island NERR,11.69
2016-07-29,34,ZI,Zeke's Island NERR,9.86
2016-07-29,34,ZI,Zeke's Island NERR,8.05
2016-07-29,34,ZI,Zeke's Island NERR,10.58
2016-07-29,34,ZI,Zeke's Island NERR,13.51
2016-07-29,34,ZI,Zeke's Island NERR,10.34
2016-07-29,34,ZI,Zeke's Island NERR,11.96
2016-07-29,34,ZI,Zeke's Island NERR,14.07
2016-08-01,34.7,RC,Rachel Carson NERR,14.19
2016-08-01,34.7,RC,Rachel Carson NERR,11.17
2016-08-01,34.7,RC,Rachel Carson NERR,13.88
2016-08-01,34.7,RC,Rachel Carson NERR,17.64
2016-08-01,34.7,RC,Rachel Carson NERR,17.41
2016-08-01,34.7,RC,Rachel Carson NERR,12.59
2016-08-01,34.7,RC,Rachel Carson NERR,13.62
2016-08-01,34.7,RC,Rachel Carson NERR,16.37
2016-08-01,34.7,RC,Rachel Carson NERR,13.04
2016-08-01,34.7,RC,Rachel Carson NERR,10.19
2016-08-01,34.7,RC,Rachel Carson NERR,14.98
2016-08-01,34.7,RC,Rachel Carson NERR,13.35
2016-08-01,34.7,RC,Rachel Carson NERR,11.83
2016-08-01,34.7,RC,Rachel Carson NERR,11.81
2016-08-01,34.7,RC,Rachel Carson NERR,13.59
2016-08-01,34.7,RC,Rachel Carson NERR,11.05
2016-08-01,34.7,RC,Rachel Carson NERR,12.5
2016-08-01,34.7,RC,Rachel Carson NERR,12.09
2016-08-01,34.7,RC,Rachel Carson NERR,11.44
2016-08-01,34.7,RC,Rachel Carson NERR,10.41
2016-08-01,34.7,RC,Rachel Carson NERR,10.19
2016-08-01,34.7,RC,Rachel Carson NERR,9.41
2016-08-01,34.7,RC,Rachel Carson NERR,9.4
2016-08-01,34.7,RC,Rachel Carson NERR,10.09
2016-08-01,34.7,RC,Rachel Carson NERR,10.05
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,21.29
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,19.36
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,18.3
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,17.33
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,20.78
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,21.35
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,19.15
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,11.66
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,18.71
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,19.76
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,18.79
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,14.2
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,19.01
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,12.94
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,13.3
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,19.9
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,16.7
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,15.04
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,14.93
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,14.04
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,16.11
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,16.22
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,12.66
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,13.99
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,13.15
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,14.65
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,13.84
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,15.93
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,15.06
2016-08-09,37.2,VCR,Virginia Coastal Reserve LTER,11.92
2016-08-07,39.1,DB,Delaware Bay NERR,18.06
2016-08-07,39.1,DB,Delaware Bay NERR,18.3
2016-08-07,39.1,DB,Delaware Bay NERR,14.21
2016-08-07,39.1,DB,Delaware Bay NERR,17.35
2016-08-07,39.1,DB,Delaware Bay NERR,16.6
2016-08-07,39.1,DB,Delaware Bay NERR,13.46
2016-08-07,39.1,DB,Delaware Bay NERR,15.08
2016-08-07,39.1,DB,Delaware Bay NERR,15.81
2016-08-07,39.1,DB,Delaware Bay NERR,20.32
2016-08-07,39.1,DB,Delaware Bay NERR,17.33
2016-08-07,39.1,DB,Delaware Bay NERR,16.64
2016-08-07,39.1,DB,Delaware Bay NERR,14.92
2016-08-07,39.1,DB,Delaware Bay NERR,18.45
2016-08-07,39.1,DB,Delaware Bay NERR,20.38
2016-08-07,39.1,DB,Delaware Bay NERR,17.19
2016-08-07,39.1,DB,Delaware Bay NERR,13.06
2016-08-07,39.1,DB,Delaware Bay NERR,13.9
2016-08-07,39.1,DB,Delaware Bay NERR,16.01
2016-08-07,39.1,DB,Delaware Bay NERR,14.27
