eruption_id,geyser,date,time,cekani_min,webcam,duration
1460898,Old Faithful,2024-06-02,912,68,Yes,119
1460909,Old Faithful,2024-06-02,1157,102,Yes,264
1461175,Old Faithful,2024-06-03,1317,101,Yes,259
1461192,Old Faithful,2024-06-03,1458,94,Yes,258
1461302,Old Faithful,2024-06-04,1117,67,Yes,116
1461893,Old Faithful,2024-06-06,1130,113,Yes,222
1461911,Old Faithful,2024-06-06,1323,92,Yes,230
1461934,Old Faithful,2024-06-06,1455,102,Yes,241
1462008,Old Faithful,2024-06-07,1816,107,No,215
1462123,Old Faithful,2024-06-07,723,85,Yes,136
1462220,Old Faithful,2024-06-07,1357,100,Yes,241
1462316,Old Faithful,2024-06-07,1537,106,Yes,270
1462320,Old Faithful,2024-06-07,1723,98,Yes,266
1462512,Old Faithful,2024-06-08,1154,106,Yes,257
1463039,Old Faithful,2024-06-10,1520,107,Yes,282
1463038,Old Faithful,2024-06-10,1707,100,Yes,243
1463234,Old Faithful,2024-06-11,1716,100,Yes,222
1463460,Old Faithful,2024-06-12,1512,106,Yes,274
1463655,Old Faithful,2024-06-13,1106,106,Yes,255
1463677,Old Faithful,2024-06-13,1252,68,Yes,114
1463697,Old Faithful,2024-06-13,1400,105,Yes,253
1463706,Old Faithful,2024-06-13,1545,71,Yes,104
1463893,Old Faithful,2024-06-14,1422,75,Yes,108
1463894,Old Faithful,2024-06-14,1537,114,Yes,277
1464190,Old Faithful,2024-06-16,1347,75,Yes,135
1464674,Old Faithful,2024-06-18,1202,91,Yes,255
1464683,Old Faithful,2024-06-18,1525,62,Yes,102
1464686,Old Faithful,2024-06-18,1627,103,Yes,277
1464907,Old Faithful,2024-06-20,1053,109,Yes,227
1464949,Old Faithful,2024-06-20,1242,99,Yes,220
1464963,Old Faithful,2024-06-20,1421,101,Yes,249
1466113,Old Faithful,2024-06-26,1218,103,No,180
1466128,Old Faithful,2024-06-26,1401,106,Yes,265
1466229,Old Faithful,2024-06-27,1024,98,Yes,211
1466244,Old Faithful,2024-06-27,1202,104,Yes,266
1466251,Old Faithful,2024-06-27,1346,96,Yes,240
1466484,Old Faithful,2024-06-28,1416,115,Yes,283
1466494,Old Faithful,2024-06-28,1611,94,Yes,247
1466509,Old Faithful,2024-06-28,1745,107,Yes,267
1467070,Old Faithful,2024-07-01,1005,100,Yes,228
1467056,Old Faithful,2024-07-01,1145,111,Yes,246
1467272,Old Faithful,2024-07-02,1311,72,Yes,111
1467340,Old Faithful,2024-07-02,1423,115,Yes,268
1467353,Old Faithful,2024-07-03,1808,98,Yes,236
1467462,Old Faithful,2024-07-03,1052,78,Yes,102
1467483,Old Faithful,2024-07-03,1353,76,Yes,119
1467486,Old Faithful,2024-07-03,1509,112,Yes,281
1467565,Old Faithful,2024-07-04,1043,92,Yes,236
1467746,Old Faithful,2024-07-05,1410,97,Yes,233
1467753,Old Faithful,2024-07-05,1547,88,Yes,228
1467964,Old Faithful,2024-07-07,940,71,Yes,157
1467963,Old Faithful,2024-07-07,1253,63,Yes,99
1468112,Old Faithful,2024-07-08,1322,90,Yes,233
1468142,Old Faithful,2024-07-08,1653,87,Yes,168
1469170,Old Faithful,2024-07-15,1034,89,Yes,245
1469195,Old Faithful,2024-07-15,1527,96,Yes,245
1469299,Old Faithful,2024-07-16,1344,97,Yes,259
1469577,Old Faithful,2024-07-18,940,97,Yes,258
